terremoto	scossa	3.8	bn:00029448n	bn:00029441n	sisma,attività sismica	microsisma,microsismo
patrimonio	azione	0	bn:00080746n	bn:16082183n	ricchezza,ricco,facoltoso	intervento
ebreo	Gerusalemme	3	bn:00043492n	bn:00015555n	israelita,Ebrei	capitale
nuvolosità	previsione	3	bn:00020010n	bn:00035804n	nebulosità	anticipazione,predizione,pronostico
dizionario	enciclopedia	4	bn:00026967n	bn:00024746n	vocabolario,calepino	enciclopedia
zecca	museo	0	bn:00077170n 	bn:00056426n	Ixodida	museo
sedia	sgabello	3.8	bn:00017515n	bn:00074427n	seggiola,gamba della sedia	panchetto
spagnolo	umidità	0	bn:00073092n	bn:00045190n	Lingua spagnola	umidità
lattina	bottiglia	3	bn:14620027n	bn:00012339n	barattolo	recipiente
mosca	formica	3	bn:13319918n	bn:00004458n	mosca	Formicidae
mito	satira	0	bn:00056669n	bn:00013998n	mito	parodia,caricatura
centro della città	autobus	1	bn:00017178n	bn:00007329n	centro	pullman,corriera
coda	Boeing 747-200	2	bn:00030590n	bn:03226093n	impennaggio	Boeing 747
opera d'arte	artista	3	bn:00081581n	bn:00006182n	opera d'arte	artista
NATO	alleanza	3.3	bn:00056978n	bn:00002740n	Organizzazione del Trattato dell'Atlantico del Nord,North Atlantic Treaty Organization	coalizione,consociazione
re	sovrano	4	bn:00024097n	bn:00024097n	monarca,sovrano	monarca,re
ritmo	cadenza	4	bn:00009396n	bn:00014520n	tempo	cadenza
Alexander Fleming	penicillina	3.3	bn:00002616n	bn:00061363n	Alexander Fleming	penicillina
flauto	musica	3	bn:00035477n	bn:00021408n	flauto traverso,Flauti	composizione,composizione musicale,componimento
airone cenerino	lago	2.6	bn:16449236n	bn:00049709n	airone cenerino	lago
viscosità	spruzzo	0	bn:00080092n	bn:00073618n	vischiosità	spruzzo
hardware	case	2	bn:00021480n	bn:00262368n	materiale informatico	case,cabinet,chassis
anello	fidanzamento	2.5	bn:00008287n	bn:00010152n	anello	fidanzata,Promessa di matrimonio
latino	tedesco	3	bn:00050161n	bn:00040293n	Lingua latina	Lingua tedesca-lingua alto-tedesca
classe operaia	fabbrica	3	bn:00049570n	bn:00032675n	proletariato,classe lavoratrice	stabilimento,manifattura
Shakespeare	Dickens	3	bn:00008556n	bn:00017842n	William Shakespeare	Charles Dickens
banconota	prete	0	bn:00008375n	bn:00024459n	banconota	pastore,curato,Parroco
strumento	lavoro	1	bn:00077585n	bn:00030616n	attrezzo,utensile	occupazione,impiego
cinghiale nano	suidi	2.7	bn:03100066n	bn:00033468n	Porcula salvania,Sus salvanius,Cinghiale nano	Suidae,Suidi
suffragio	uscita	0	bn:00067845n	bn:00032163n	diritto di voto	escursione,gita,passeggiata
stella	luminosità	2.8	bn:00073964n	bn:14292145n	astro,sole	luminosità
trota	chitarra	0	bn:00078435n	bn:00042150n	trota	chitarra
dollaro	milionario	2.5	bn:00079129n	bn:00055058n	dollaro americano,Dollaro statunitense	milionario
cifra	numero	4	bn:00025702n	bn:00058285n	cifra	numero
burrasca	coperta	0	bn:00074458n	bn:00011119n	tempesta,bufera	coltre,copriletto
Obama	Clinton	3	bn:03330021n	bn:00010400n	Barack Obama	Bill Clinton
personaggio secondario	film	2.8	bn:00206836n	bn:00034471n	personaggio secondario	pellicola,opera cinematografica
Juventus	Bayern Monaco	3	bn:00876765n	bn:00963795n	Juventus Football Club	Fußball-Club Bayern München, Bayern Monaco
cambiamento climatico	precipitazione	3	bn:00019782n	bn:00028483n	cambiamento climatico,cambiamento del clima,mutamento climatico	precipitazione atmosferica
IA	batteria	0	bn:00002150n	bn:00028891n	intelligenza artificiale	tamburo,Membranofoni
capolavoro	Gioconda	3.2	bn:00018059n	bn:03571983n	capodopera,opera d'arte	La Gioconda
crimine	aggressione	3.3	bn:00023807n	bn:00006465n	reato,delitto	assassinio,Magnicidio
incoronazione	acqua	0	bn:00022800n	bn:00042379n	investitura,coronazione	H₂O
vocalista	pentagramma	1.7	bn:15167394n	bn:00073805n	vocalista	rigo
spareggio	pallacanestro	1.9	bn:00062962n	bn:00008889n	play-off	basket,basketball
forze armate	difesa	3.8	bn:00005732n	bn:00005732n	Forza armata,forze militari	forze armate,Forza armata,forze militari
lago	nuvola	1	bn:00049709n	bn:00020002n	lago	nube,nembo
monastero	doccia	0	bn:13460974n	bn:00071324n	monastero	doccia
lingua madre	lingua	3.9	bn:00034782n	bn:00049910n	madrelingua,lingua materna	linguaggio,idioma
porto	incarto	0	bn:00063640n	bn:00060120n	porto	imballaggio,imballo